D22161,0.2756,2.06416,0.3558,1.92053
45437,0.37044,1.8039,0.422,1.66136
68058,0.42192,1.6457,0.4508,1.56533
91012,0.45502,1.55134,0.4734,1.50015
113136,0.48056,1.47085,0.5029,1.40489
135903,0.49782,1.42763,0.506,1.3908
159242,0.51396,1.37072,0.5203,1.35339
182127,0.53148,1.33253,0.5119,1.36197
205467,0.53658,1.308,0.5377,1.29208
228563,0.55168,1.27729,0.5525,1.26691
251167,0.56538,1.23334,0.5575,1.26351
273734,0.571,1.22226,0.5586,1.24427
295963,0.58146,1.19243,0.5796,1.19018
318678,0.59026,1.17753,0.5832,1.1849
341549,0.59652,1.14998,0.5879,1.16719
