Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
221936,0.907733,0.467379,0.9777,0.0907743
443383,0.9827,0.070849,0.9861,0.0510597
664999,0.988983,0.0450212,0.9882,0.0435242
886493,0.991917,0.0327815,0.99,0.0356375
1107541,0.993817,0.0256042,0.9895,0.0344875
1329029,0.99545,0.0202292,0.9905,0.0311519
1550208,0.9967,0.0163588,0.9907,0.0298814
1771617,0.99785,0.0132829,0.9908,0.0287064
1992259,0.99845,0.0108402,0.9912,0.028127
2212882,0.99875,0.00919482,0.9915,0.027794
