Duration,Accuracy,Sample_Mean_Loss
80742,0.698883,1.83224
161470,0.753233,1.42719
242370,0.887617,0.745071
322563,0.948533,0.353935
401278,0.961,0.220135
482032,0.96835,0.163173
562015,0.972717,0.132091
640234,0.97585,0.112074
719344,0.978567,0.0974137
801704,0.980917,0.0869224
886022,0.982417,0.0786344
968725,0.983783,0.0719696
1051188,0.984733,0.0663163
1137916,0.985883,0.0617059
1219183,0.987067,0.0574753
1297500,0.98765,0.0541009
1377253,0.9881,0.0512013
1463919,0.989317,0.0482079
1548586,0.989383,0.0457882
1636466,0.9901,0.0434269
