Duration,Accuracy,Sample_Mean_Loss
26559,0.750483,1.51646
52556,0.90245,0.851167
78539,0.933183,0.546308
103890,0.94675,0.371107
129781,0.955883,0.269616
155107,0.962117,0.207438
181216,0.966733,0.169
206678,0.970033,0.143877
232443,0.972917,0.126338
258224,0.974833,0.113353
284298,0.976683,0.103195
309974,0.97795,0.0948714
335864,0.979067,0.0880692
361584,0.9807,0.0822188
387898,0.981783,0.0772976
414905,0.98305,0.0729509
440941,0.9839,0.06894
466663,0.98485,0.0656807
492452,0.985367,0.0623834
518078,0.9858,0.0597995
