Duration,Accuracy,Sample_Mean_Loss
83574,0.355117,2.25164
163824,0.7229,1.69766
244156,0.882967,0.79076
324258,0.947967,0.361207
403357,0.961233,0.220885
484231,0.96835,0.162441
563790,0.97305,0.130656
642396,0.976833,0.110173
721208,0.979417,0.0958011
803773,0.981417,0.0851275
888088,0.983017,0.0767886
970541,0.98445,0.0700968
1052847,0.9854,0.0644504
1139989,0.98635,0.0597283
1221238,0.98745,0.0556657
1299622,0.988317,0.0520514
1379483,0.988867,0.0489967
1466102,0.9895,0.0462743
1550940,0.990233,0.0437368
1638069,0.9909,0.0414378
