Duration,Accuracy,Sample_Mean_Loss
83076,0.71825,1.83514
163823,0.75845,1.41079
244263,0.89265,0.731788
324250,0.948617,0.349311
403750,0.961483,0.21785
484307,0.9685,0.162129
563638,0.97295,0.131238
642522,0.976033,0.11148
720930,0.978567,0.0973612
803928,0.980683,0.0868682
888504,0.982667,0.0784532
970422,0.984067,0.0718583
1053070,0.984867,0.0661997
1139888,0.98615,0.0615534
1221281,0.986767,0.057798
1299554,0.987783,0.0539726
1379517,0.988517,0.0508651
1466214,0.98915,0.0480844
1551009,0.989717,0.0455432
1637907,0.99015,0.0433167
