Duration,Accuracy,Sample_Mean_Loss
25591,0.786217,1.33127
50164,0.921383,0.64829
74635,0.9395,0.461831
99036,0.949,0.366212
123765,0.9544,0.30224
149225,0.959933,0.249934
174184,0.964317,0.209718
199174,0.967283,0.17799
223991,0.97035,0.1536
248514,0.9731,0.133732
273025,0.975133,0.118344
298023,0.977083,0.105894
322941,0.978917,0.0962244
347581,0.9806,0.0881269
372040,0.981833,0.0816713
396193,0.983,0.0761737
421150,0.983983,0.0714797
445610,0.984767,0.0671879
470738,0.985467,0.0635653
495883,0.986033,0.0602349
