Duration,Accuracy,Sample_Mean_Loss
39858,0.680967,1.91184
77216,0.868033,0.957713
114789,0.937133,0.439002
152440,0.95465,0.264035
189805,0.963217,0.191383
226969,0.96895,0.152587
264007,0.972283,0.128125
301301,0.9755,0.111203
338796,0.977883,0.0986527
376105,0.9794,0.0891031
413823,0.981283,0.0812064
451577,0.9827,0.0749059
488591,0.984,0.069513
525859,0.985083,0.0647455
563853,0.986033,0.0607843
601521,0.986883,0.0572314
639272,0.987567,0.0539554
676954,0.988383,0.0513435
714412,0.989083,0.0489242
752320,0.989367,0.046549
