Duration,Accuracy,Sample_Mean_Loss
82598,0.6917,1.84202
163370,0.751667,1.41889
243535,0.891717,0.736364
323487,0.94805,0.350717
402216,0.96135,0.218802
482918,0.968033,0.162316
563193,0.97315,0.131355
641356,0.9758,0.111357
720122,0.97855,0.0973664
802554,0.980583,0.0867096
887555,0.981967,0.078724
969812,0.983833,0.0720274
1051986,0.9848,0.0663953
1138606,0.986017,0.0614931
1220321,0.986783,0.0575339
1298807,0.98755,0.0541415
1378732,0.9884,0.050994
1465171,0.989,0.0481416
1549861,0.989567,0.0456022
1637312,0.9903,0.0433199
