Duration,Accuracy,Sample_Mean_Loss
29288,0.7097,1.75153
57555,0.896883,0.827127
85801,0.9319,0.438693
113879,0.94535,0.296568
142239,0.953033,0.228663
170409,0.959583,0.188672
198474,0.96425,0.162053
226586,0.967217,0.142731
255088,0.970517,0.127991
283669,0.9729,0.116443
311850,0.974767,0.106933
340473,0.976517,0.0990024
369229,0.977867,0.0920929
397598,0.979017,0.0861385
425528,0.9807,0.0809188
453808,0.981567,0.076564
481998,0.982767,0.0724311
509911,0.9837,0.0689227
538157,0.984467,0.0656187
566208,0.985083,0.0628908
