Duration,Accuracy,Sample_Mean_Loss
48915,0.36946,1.77187
94926,0.5297,1.3355
140859,0.59358,1.16853
185231,0.6316,1.06806
229550,0.6588,0.989885
273681,0.68184,0.924614
319305,0.69168,0.894604
365150,0.70944,0.843259
410252,0.7135,0.835187
454743,0.72612,0.794163
500211,0.73188,0.776674
545384,0.74322,0.743679
592500,0.75394,0.716471
637445,0.7533,0.714709
684370,0.76768,0.671545
732049,0.77108,0.657008
782363,0.7888,0.617733
829578,0.79686,0.590209
878954,0.80236,0.572238
926268,0.81546,0.533574
970408,0.82588,0.507484
1015772,0.83844,0.470617
1060117,0.84742,0.44287
1103271,0.85952,0.413389
1147563,0.86486,0.395714
1190784,0.88074,0.357437
1235526,0.88826,0.333467
1283461,0.89554,0.314708
1328943,0.90176,0.297643
1375817,0.91176,0.270564
