Duration,Accuracy,Sample_Mean_Loss
36247,0.795967,1.16992
71381,0.9277,0.503761
104758,0.945317,0.374601
140352,0.954033,0.319786
177533,0.959433,0.286564
213883,0.9639,0.259153
249314,0.966583,0.236343
285107,0.96905,0.217062
320390,0.97085,0.200673
356056,0.972417,0.183749
389515,0.973583,0.1698
422591,0.974933,0.15676
456895,0.976267,0.144668
491709,0.977567,0.133149
600927,0.97885,0.122526
635201,0.979883,0.113056
669563,0.980483,0.104155
745146,0.981333,0.0958684
781321,0.982667,0.0878531
816149,0.983533,0.080894
