Duration,Accuracy,Sample_Mean_Loss
26709,0.499083,2.04491
52611,0.898317,1.07313
79548,0.936983,0.497858
103822,0.951883,0.303019
130970,0.9597,0.221813
155250,0.964333,0.17836
182768,0.968567,0.150807
206945,0.971283,0.131917
234020,0.974083,0.11761
258796,0.97605,0.106737
285713,0.97785,0.0976243
310393,0.9792,0.0904017
337765,0.980633,0.0841255
362234,0.981567,0.0788448
389602,0.9827,0.0741653
414197,0.98345,0.0701712
441944,0.984433,0.0664636
466870,0.984983,0.063148
493900,0.985767,0.0601687
518699,0.986317,0.0574947
