Duration,Accuracy,Sample_Mean_Loss
33385,0.624717,1.82511
66499,0.854583,1.20835
99311,0.906383,0.716008
132438,0.933767,0.418868
165705,0.948633,0.283597
198931,0.956483,0.216731
232269,0.962783,0.177562
265747,0.96675,0.152031
299048,0.970083,0.133855
332196,0.972417,0.119812
365071,0.97495,0.10919
398106,0.976783,0.100434
431674,0.978617,0.092962
465111,0.979533,0.0868372
498379,0.98055,0.0816525
531586,0.981583,0.0769612
564706,0.982717,0.0728518
597984,0.98355,0.0692167
630951,0.984083,0.0657195
664199,0.9847,0.0628555
