Duration,Accuracy,Sample_Mean_Loss
31934,0.371433,2.20939
70234,0.8403,1.61668
106293,0.924283,0.767962
135684,0.947867,0.360704
171758,0.959583,0.229465
207129,0.9663,0.172588
242686,0.971033,0.140182
270543,0.97435,0.118862
307658,0.977117,0.103632
344061,0.9794,0.0922257
379892,0.981117,0.0831999
409145,0.982933,0.0758988
445358,0.98465,0.0697566
482562,0.985683,0.0649028
519264,0.986433,0.0603615
548104,0.987233,0.0566199
583665,0.988367,0.0531796
620311,0.988933,0.0501157
657015,0.98945,0.0476632
686209,0.989883,0.0452654
