Duration,Accuracy,Sample_Mean_Loss
33955,0.63605,1.81039
66976,0.857317,1.19886
99758,0.9072,0.708532
132896,0.934267,0.415059
166152,0.948983,0.28193
199372,0.957217,0.215812
232711,0.962633,0.177342
266192,0.966817,0.151671
299572,0.970167,0.133759
332785,0.9728,0.119816
365607,0.9751,0.109006
398551,0.976967,0.10024
432162,0.97855,0.0926683
465558,0.979733,0.0867679
498922,0.980683,0.0817561
532063,0.98165,0.0766966
565154,0.982667,0.072945
598428,0.983267,0.0693568
631411,0.984317,0.065825
664685,0.985117,0.0628381
