Duration,Accuracy,Sample_Mean_Loss
37619,0.7745,1.2132
73869,0.925017,0.530686
108028,0.9461,0.38306
143009,0.955267,0.319846
179640,0.960983,0.283677
217768,0.964017,0.255636
252694,0.966317,0.233082
287222,0.969067,0.213575
321840,0.971,0.196987
358861,0.972717,0.180612
392319,0.9738,0.166635
424712,0.975033,0.15318
458947,0.9759,0.141578
494098,0.97735,0.129884
603989,0.978683,0.119434
637623,0.979517,0.109645
672685,0.980467,0.100985
748098,0.9816,0.0929787
785516,0.982233,0.0851799
818994,0.9832,0.0788191
