Duration,Accuracy,Sample_Mean_Loss
85516,0.713117,1.83564
165349,0.75855,1.41881
245913,0.896317,0.722913
326171,0.94925,0.344021
405352,0.9619,0.215884
485974,0.9686,0.161007
565331,0.9733,0.130603
644383,0.976267,0.11089
723153,0.978867,0.0970053
805713,0.981167,0.0865616
890052,0.982367,0.0783828
972608,0.98365,0.0716521
1054709,0.984583,0.066232
1141705,0.986033,0.0614659
1223360,0.986767,0.0574187
1301237,0.987683,0.0539763
1381265,0.98855,0.0510548
1467945,0.9891,0.0481416
1552901,0.989567,0.0455567
1639254,0.990367,0.0431883
