Duration,Accuracy,Sample_Mean_Loss
55613,0.237,2.18691
103365,0.31148,2.07285
154997,0.34876,1.95003
203155,0.38606,1.80409
251364,0.4211,1.68139
300680,0.45292,1.56945
351120,0.4805,1.48258
400875,0.50734,1.40463
452039,0.52828,1.3396
501668,0.5469,1.28854
50495,0.25012,2.17007
102139,0.32686,2.03738
153333,0.3526,1.91175
203749,0.38448,1.78524
252326,0.42214,1.66517
302130,0.453,1.55834
350973,0.47998,1.46684
400575,0.50486,1.4009
450261,0.52708,1.34008
497424,0.54612,1.28862
542727,0.56486,1.23818
589105,0.58072,1.19399
638563,0.59106,1.16145
689285,0.60556,1.12614
735873,0.61722,1.08945
783576,0.63268,1.05384
833180,0.63978,1.03249
883169,0.64884,1.00015
933039,0.65674,0.98171
980417,0.6656,0.956834
1026389,0.67094,0.942968
1074041,0.6796,0.922324
1130327,0.68738,0.90082
1183448,0.69108,0.887423
1236077,0.69964,0.864642
1287805,0.70382,0.855739
1337978,0.70858,0.842805
1386037,0.71264,0.82392
1436643,0.71816,0.811792
1482491,0.72326,0.796539
