Duration,Accuracy,Sample_Mean_Loss
35938,0.754267,1.64888
72306,0.875783,1.07946
106035,0.928267,0.593914
139819,0.949283,0.33101
173648,0.959617,0.221751
207289,0.966517,0.169492
240470,0.971017,0.138956
273892,0.974367,0.118599
310515,0.9769,0.104033
344597,0.978933,0.0929282
378908,0.980683,0.0842977
413427,0.98245,0.0770585
448479,0.983833,0.0713067
483001,0.985033,0.0663989
517974,0.9858,0.0619713
551876,0.987033,0.0582859
585549,0.98765,0.0549989
620364,0.988417,0.0518112
654713,0.988883,0.0492645
688567,0.9894,0.0471213
