Duration,Accuracy,Sample_Mean_Loss
84503,0.729467,1.81943
164974,0.779867,1.39852
245647,0.8945,0.721293
325425,0.948667,0.346032
404221,0.961383,0.21643
485055,0.968717,0.161182
564759,0.972817,0.131154
643623,0.9763,0.111165
722643,0.978717,0.0971146
804963,0.981117,0.0867525
889003,0.9823,0.0784923
972082,0.983533,0.0715148
1054014,0.984967,0.0663267
1141007,0.9861,0.0614081
1222631,0.98685,0.0575585
1300710,0.98775,0.0540543
1380882,0.9884,0.0509068
1467367,0.98905,0.0480655
1552203,0.98945,0.0455847
1638922,0.990283,0.043396
