Duration,Accuracy,Sample_Mean_Loss
28375,0.6577,1.818
56646,0.89365,0.866051
84930,0.931333,0.451084
112998,0.944817,0.301387
141307,0.9533,0.230357
169528,0.959567,0.18927
197607,0.963967,0.162104
225697,0.967733,0.142488
254132,0.9709,0.127472
282777,0.973233,0.115537
310983,0.975383,0.10589
339613,0.976967,0.0979566
368270,0.978183,0.0910106
396707,0.97995,0.0851129
424633,0.981167,0.0799026
452880,0.9823,0.0754358
481112,0.983283,0.0711585
508914,0.984217,0.0677982
537286,0.984867,0.064571
565289,0.985617,0.0616546
