Duration,Accuracy,Sample_Mean_Loss
27717,0.765133,1.6256
54736,0.9129,0.82878
80575,0.94145,0.426776
105857,0.953417,0.277825
131974,0.960717,0.209948
157354,0.96525,0.171625
183743,0.9687,0.147291
209193,0.971433,0.129578
235009,0.974,0.116382
260853,0.976033,0.105801
286716,0.978067,0.0971256
312522,0.978783,0.0903617
338795,0.980433,0.0843352
364454,0.981367,0.0790631
390589,0.982267,0.0746028
416456,0.983267,0.0707355
442917,0.984133,0.0670861
468938,0.984667,0.0641233
494873,0.98545,0.0611616
520717,0.985867,0.0583844
