Duration,Accuracy,Sample_Mean_Loss
27412,0.788933,1.45474
53245,0.909683,0.820364
79394,0.934467,0.529561
104564,0.947283,0.36305
130658,0.956233,0.263993
155782,0.962317,0.204253
182093,0.966683,0.166926
207724,0.9697,0.142508
233720,0.972717,0.125251
259311,0.97465,0.112562
285593,0.9769,0.102453
311021,0.977983,0.0943901
337176,0.979483,0.0875085
362718,0.980783,0.0819491
388871,0.98195,0.0768856
415871,0.982933,0.072587
442371,0.983967,0.0687989
468118,0.984783,0.0652768
494671,0.985383,0.0623825
520144,0.986167,0.0595538
