Duration,Accuracy,Sample_Mean_Loss
35393,0.7082,1.68186
71285,0.863833,1.11437
105246,0.924383,0.62439
139061,0.947433,0.343348
172905,0.959433,0.226879
205950,0.9661,0.172316
239261,0.97105,0.14059
272829,0.974133,0.119914
307774,0.9764,0.104858
342464,0.978917,0.0937326
376918,0.9808,0.0848048
411177,0.982133,0.0777662
446772,0.98395,0.0715545
480874,0.984683,0.0664686
515990,0.98535,0.0624013
549466,0.986817,0.0584224
583159,0.987467,0.0552136
616965,0.988317,0.0521296
651619,0.98895,0.0494563
685766,0.98935,0.047102
