Duration,Accuracy,Sample_Mean_Loss
37472,0.742167,1.68352
73815,0.8972,1.04293
107967,0.934133,0.553158
142369,0.951183,0.310547
176795,0.961,0.212747
210506,0.967133,0.164488
244409,0.971533,0.135688
277136,0.974467,0.116522
313149,0.977167,0.102533
347271,0.9794,0.0919211
381694,0.98125,0.0830969
415733,0.982817,0.0762052
450670,0.984267,0.0707416
486199,0.985,0.0659308
520877,0.985983,0.0613756
554555,0.986733,0.0576854
588569,0.987817,0.0545656
624038,0.988633,0.0516779
658790,0.988967,0.0489012
691407,0.989433,0.0466087
