Duration,Accuracy,Sample_Mean_Loss
26262,0.263383,2.24884
51167,0.805167,1.72293
78356,0.911767,1.03824
102473,0.9376,0.575324
129607,0.951117,0.345612
153659,0.959283,0.238639
181006,0.964933,0.184057
205639,0.9688,0.152702
232709,0.9721,0.131799
257147,0.974383,0.116934
284607,0.9764,0.105526
308923,0.97815,0.0964473
336152,0.979333,0.0890077
360558,0.9808,0.0827921
387874,0.982083,0.0775303
413513,0.983133,0.072879
441286,0.984317,0.0688039
465980,0.985083,0.0652193
493731,0.98585,0.0618673
518229,0.98645,0.059025
