Duration,Accuracy,Sample_Mean_Loss
22396,0.114767,2.29255
48361,0.458617,2.08737
74262,0.76875,1.7175
95033,0.8777,1.28435
121471,0.921867,0.882935
148369,0.9427,0.590593
174793,0.954567,0.399425
196167,0.96255,0.281617
221676,0.967133,0.209449
247266,0.971017,0.166128
273292,0.973883,0.13808
294656,0.976417,0.118897
320588,0.978133,0.104921
346388,0.9801,0.0944946
372319,0.981333,0.0861882
392934,0.982617,0.0793645
419108,0.983683,0.0735871
444963,0.9846,0.0688664
471476,0.985567,0.0647472
492643,0.986267,0.0611612
