Duration,Accuracy,Sample_Mean_Loss
83904,0.699917,1.82683
164408,0.765317,1.4029
245164,0.8944,0.726239
324886,0.948583,0.347743
403704,0.9615,0.217243
484558,0.968133,0.161914
564068,0.973117,0.130807
642645,0.9763,0.111108
722101,0.97855,0.0974306
804498,0.980817,0.0868539
888814,0.982383,0.0786571
970865,0.983933,0.0720554
1053731,0.985017,0.0662199
1140701,0.9859,0.0616425
1221640,0.986617,0.0578216
1300022,0.987633,0.0539117
1380049,0.988367,0.0509279
1466796,0.989133,0.0480752
1551250,0.989467,0.0456054
1638379,0.990167,0.0433136
