Duration,Accuracy,Sample_Mean_Loss
39351,0.672167,1.93129
76826,0.8659,0.9718
114484,0.93725,0.443393
152121,0.954517,0.265621
189253,0.9632,0.19209
226495,0.968633,0.15279
263699,0.972617,0.128355
300595,0.97555,0.11142
338300,0.9776,0.0988525
375288,0.979567,0.0891907
413320,0.981283,0.0814313
451198,0.982783,0.0748705
488211,0.984167,0.0694653
525317,0.98515,0.0649421
563169,0.986117,0.0609053
601052,0.986817,0.0574677
638948,0.98765,0.0542977
676470,0.988233,0.0511856
713934,0.988767,0.0488317
751888,0.989333,0.0465212
