Duration,Accuracy,Sample_Mean_Loss
28894,0.693017,1.77796
57117,0.894833,0.848281
85080,0.931467,0.446228
112703,0.944983,0.299748
141011,0.953333,0.230414
169262,0.959283,0.189894
197483,0.964033,0.162629
225417,0.96735,0.14322
253711,0.970233,0.128634
282499,0.97295,0.116527
310713,0.975033,0.106937
339302,0.976417,0.0989663
367863,0.97815,0.0924461
396412,0.979567,0.0863615
424361,0.98065,0.0810857
452640,0.98195,0.0766607
480813,0.98295,0.0726557
508633,0.9837,0.0691478
536995,0.98445,0.0658419
565055,0.985083,0.0626694
