Duration,Accuracy,Sample_Mean_Loss
26419,0.755317,1.62468
53120,0.908433,0.853143
78855,0.9401,0.442475
104466,0.953333,0.284037
130348,0.960383,0.213374
155933,0.964767,0.173969
181942,0.968467,0.148459
207573,0.9713,0.130431
233402,0.973867,0.11705
259057,0.9759,0.106407
285088,0.977517,0.0977533
311061,0.979033,0.0907994
336943,0.980183,0.0846757
362481,0.981417,0.0794475
388245,0.98225,0.074869
413812,0.983233,0.0709662
440400,0.983917,0.067385
466594,0.984567,0.0641698
492568,0.9851,0.0611429
518506,0.985767,0.0586496
