Duration,Accuracy,Sample_Mean_Loss
38112,0.6742,1.94554
75520,0.8602,1.0012
113216,0.935883,0.453293
150817,0.95445,0.269488
188105,0.963083,0.193928
224995,0.96875,0.153826
262315,0.972217,0.129153
299577,0.975367,0.111856
337074,0.97795,0.0992356
374393,0.979467,0.089505
412077,0.9812,0.0816901
449886,0.983,0.0751818
487084,0.9843,0.0696805
524038,0.985033,0.064972
561948,0.985933,0.060994
599969,0.987183,0.0573907
637719,0.987867,0.0540821
675216,0.9881,0.0514099
712808,0.9886,0.0488571
750748,0.989183,0.0466534
