Duration,Accuracy,Sample_Mean_Loss
38619,0.54755,2.04844
75954,0.8576,1.03316
113581,0.935917,0.462848
151187,0.954117,0.272144
188608,0.963217,0.194346
225698,0.968783,0.153666
262806,0.972583,0.128546
300126,0.9755,0.111021
337582,0.978133,0.0983024
374909,0.98,0.0883989
412667,0.981633,0.0804757
450388,0.983133,0.0739738
487437,0.9847,0.0685198
524596,0.985517,0.0637555
562475,0.986683,0.0597524
600288,0.987333,0.0561618
638036,0.988133,0.0530692
675692,0.988683,0.0503163
713123,0.9893,0.0476746
751321,0.989683,0.045369
