Duration,Accuracy,Sample_Mean_Loss
35332,0.794783,1.20176
70526,0.930983,0.512509
104323,0.947117,0.373875
139253,0.9552,0.316346
175581,0.96005,0.283252
212723,0.963683,0.256707
248620,0.9661,0.235128
284148,0.967783,0.215842
319084,0.969517,0.199333
354830,0.971183,0.182977
388765,0.972767,0.168575
422156,0.974317,0.154831
456047,0.975717,0.142356
490439,0.976933,0.130543
529045,0.97795,0.119931
633756,0.979183,0.109811
668214,0.980633,0.101143
743086,0.981683,0.0930312
779475,0.982883,0.0853683
814385,0.983183,0.0790503
