Duration,Accuracy,Sample_Mean_Loss
32071,0.0688167,2.33456
70548,0.148967,2.27825
105921,0.273883,2.21648
135338,0.378917,2.14515
174071,0.4938,2.05749
214102,0.61445,1.94646
250891,0.72505,1.80551
280433,0.81655,1.63497
316819,0.88015,1.43424
355557,0.917133,1.21455
390649,0.9376,0.991659
418307,0.95075,0.774632
453634,0.95915,0.588903
490763,0.964933,0.439354
602312,0.969333,0.326788
630574,0.97315,0.244996
667552,0.97555,0.186841
744675,0.978517,0.14765
783770,0.98055,0.120748
813429,0.981933,0.101735
