Duration,Accuracy,Sample_Mean_Loss
25958,0.77575,1.29398
50673,0.91945,0.635075
75401,0.938767,0.455523
99756,0.949517,0.358719
125174,0.95525,0.294857
150780,0.960417,0.245538
176035,0.964433,0.206878
200736,0.967883,0.175979
225170,0.971433,0.15164
249566,0.974367,0.131874
274444,0.976167,0.116497
299170,0.977583,0.104434
324039,0.979417,0.0948997
348664,0.980967,0.0872562
373523,0.982067,0.0808711
397564,0.983217,0.0754054
422613,0.9839,0.0708773
447237,0.984783,0.0666746
472852,0.9858,0.0629197
497022,0.986117,0.0599582
