Duration,Accuracy,Sample_Mean_Loss
38738,0.7116,1.91859
76265,0.862983,0.986073
113825,0.936517,0.448433
151519,0.9546,0.267549
188751,0.962867,0.192934
225973,0.968583,0.153418
263149,0.972333,0.128712
300256,0.9754,0.111684
337662,0.977567,0.0991944
374839,0.979667,0.0893343
412616,0.9814,0.0816907
450596,0.98265,0.0751289
487710,0.9841,0.0696475
524783,0.985333,0.0648642
562631,0.985833,0.0609898
600533,0.98685,0.0573658
638309,0.987583,0.0541598
676031,0.988233,0.0513443
713483,0.989067,0.0488271
751387,0.989167,0.0466611
