Duration,Accuracy,Sample_Mean_Loss
36933,0.794533,1.16866
72620,0.92875,0.507178
107037,0.94585,0.372748
141814,0.955117,0.315223
179207,0.960517,0.281922
216831,0.964117,0.255568
251719,0.965933,0.234702
286820,0.968633,0.216294
321484,0.97015,0.200895
357484,0.971283,0.185002
391001,0.972883,0.171247
423927,0.97445,0.157585
458432,0.975717,0.14551
493320,0.97695,0.133529
603407,0.97795,0.122439
637174,0.979283,0.112491
671915,0.980417,0.103281
747190,0.98145,0.0948915
783870,0.982517,0.0872907
818100,0.983117,0.0806286
