Duration,Accuracy,Sample_Mean_Loss
81972,0.7096,1.83537
162777,0.7608,1.42873
243281,0.895067,0.741415
323149,0.9487,0.351832
401645,0.961083,0.219353
482967,0.968117,0.162814
562082,0.972833,0.131586
641290,0.976,0.111699
719401,0.9786,0.0976027
802414,0.9805,0.0869381
886787,0.98225,0.0787358
968716,0.98375,0.0717691
1051700,0.984883,0.066428
1138614,0.985917,0.0617101
1219568,0.986917,0.0573856
1298150,0.98765,0.0539916
1378282,0.9883,0.0509864
1464616,0.989,0.0480151
1549400,0.9898,0.0456758
1636881,0.990217,0.0435914
