Duration,Accuracy,Sample_Mean_Loss
33698,0.6322,1.81868
66680,0.855517,1.20537
99468,0.9065,0.715378
132589,0.934283,0.418326
165850,0.9492,0.283036
199086,0.95695,0.216037
232423,0.962467,0.177199
265892,0.967467,0.151444
299290,0.970583,0.1333
332496,0.973083,0.119261
365337,0.9745,0.108737
398254,0.976583,0.0998564
431843,0.97855,0.0924611
465264,0.979633,0.0863942
498607,0.980817,0.0811346
531784,0.98145,0.0764103
564858,0.982833,0.0722317
598132,0.983517,0.068852
631124,0.98455,0.0653731
664338,0.985267,0.0622925
