Duration,Accuracy,Sample_Mean_Loss
54340,0.24624,2.1698
101864,0.31456,2.05706
153811,0.34324,1.93695
201174,0.37654,1.81482
249282,0.41412,1.6921
299257,0.45038,1.57664
350094,0.4789,1.48512
400050,0.50526,1.40769
451334,0.52554,1.34787
500376,0.54492,1.29105
48617,0.26264,2.13751
99734,0.33774,2.01149
150918,0.35652,1.90333
201874,0.3888,1.78935
250125,0.42164,1.66725
299485,0.4526,1.55648
348965,0.47936,1.4715
398521,0.50186,1.4044
448846,0.52668,1.33834
496314,0.54498,1.29146
541149,0.5663,1.23555
587420,0.57898,1.19908
637143,0.58964,1.16789
687246,0.60706,1.1214
733968,0.6144,1.09821
781663,0.62902,1.05975
831251,0.63992,1.03165
882576,0.6476,1.0088
932158,0.65728,0.980411
979493,0.66576,0.959865
1025303,0.67378,0.937433
1071909,0.67978,0.919614
1128228,0.68574,0.906523
1181246,0.69426,0.876797
1234825,0.6979,0.871543
1286769,0.70382,0.851254
1337076,0.7104,0.838474
1384512,0.71582,0.823122
1435795,0.72078,0.808125
1481686,0.7222,0.801056
