Duration,Accuracy,Sample_Mean_loss,Total_comm_time
39200,0.866367,0.729275,8.10395
77037,0.9752,0.105361,15.9942
114805,0.987267,0.0521203,23.7788
153683,0.990933,0.0367739,32.0588
192725,0.99345,0.0274918,40.0583
230726,0.994717,0.0222937,47.9117
268390,0.996283,0.0177773,55.6702
306936,0.99725,0.0145969,64.1569
344459,0.99805,0.0119256,71.9945
382986,0.9985,0.00985566,80.1298
38701,0.848933,0.74291,7.47144
76688,0.97745,0.0950241,15.2225
114864,0.987383,0.0495535,22.7359
153948,0.991533,0.0345734,30.6554
193637,0.993883,0.0266004,39.0962
232199,0.99545,0.0206241,46.8996
271013,0.996617,0.0168269,55.0318
311011,0.997533,0.0136771,62.8126
349182,0.998033,0.0113255,71.0055
389273,0.998633,0.00954758,79.2694
