Duration,Accuracy,Sample_Mean_loss,Total_comm_time
40321,0.85645,0.742834,8.79079
78074,0.975817,0.102733,17.038
115927,0.986933,0.0515321,25.092
154689,0.991133,0.0364456,33.0506
193912,0.993433,0.027368,41.0521
232021,0.994867,0.0223283,49.0478
269663,0.996,0.0179591,56.8845
308174,0.99735,0.0144031,65.232
345730,0.998117,0.0115857,72.937
383806,0.998767,0.00961225,81.0949
39805,0.862533,0.72833,9.15508
77667,0.978017,0.0929196,17.5299
116046,0.98775,0.0480102,25.6749
155401,0.991717,0.034284,33.9906
194800,0.9937,0.0265025,42.6288
233281,0.9953,0.0208437,50.8485
272211,0.9967,0.0166734,58.8452
312184,0.9974,0.0136192,67.4365
350335,0.998217,0.0110098,75.989
390285,0.998783,0.00912532,84.8927
