Duration,Accuracy,Sample_Mean_loss,Total_comm_time
38596,0.8479,0.761436,7.80559
76318,0.97505,0.106398,15.6467
114244,0.98715,0.0528597,23.1457
152815,0.990733,0.0369844,31.1394
192098,0.993517,0.027906,40.1382
230161,0.994733,0.0225315,48.5887
267750,0.996117,0.0179589,56.4473
306314,0.9974,0.0145849,64.4914
343814,0.998067,0.0118354,72.2043
382219,0.998533,0.00992915,80.9269
37900,0.85885,0.738019,7.52544
75760,0.977333,0.0967222,15.9428
114133,0.987433,0.0493849,23.9523
153275,0.991283,0.0351379,32.905
192775,0.9935,0.0268774,41.5367
231493,0.995167,0.0210495,49.9066
270087,0.996467,0.016858,58.1469
310393,0.997367,0.0136148,66.804
348512,0.998033,0.0114961,75.0499
388801,0.998633,0.00934087,84.1769
