Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
75337,0.30354,1.94363,0.435,1.79987
149486,0.52676,1.32626,0.5762,1.22028
223631,0.63436,1.04676,0.6246,1.05513
297725,0.68612,0.897241,0.6661,0.962966
371451,0.72488,0.792301,0.6927,0.879315
444230,0.75336,0.714633,0.7057,0.847512
518482,0.77792,0.649158,0.7163,0.842073
592825,0.796,0.600413,0.7276,0.805526
666978,0.8133,0.551503,0.715,0.856326
741240,0.8271,0.511049,0.7236,0.830925
815190,0.8399,0.47819,0.7159,0.881952
888415,0.85024,0.443262,0.7257,0.847205
961462,0.864,0.409987,0.7304,0.85135
1034706,0.8746,0.382008,0.7261,0.868088
1108164,0.8819,0.358822,0.7283,0.874122
