Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
112804,0.19206,2.24429,0.2161,2.25862
217332,0.37142,1.86268,0.4417,1.61976
327511,0.53308,1.35353,0.5944,1.15126
430653,0.64182,1.02519,0.6627,0.972856
548819,0.70424,0.855818,0.6956,0.879741
658166,0.74106,0.7527,0.7191,0.822656
782676,0.76814,0.676623,0.7294,0.787451
890569,0.78908,0.619995,0.7354,0.769173
1002012,0.8047,0.574036,0.7438,0.755961
1105180,0.82046,0.532872,0.7468,0.749769
1218238,0.83328,0.497148,0.7466,0.74974
1328142,0.84614,0.46494,0.7486,0.748665
1441289,0.856,0.436418,0.7459,0.754462
1546803,0.86622,0.40909,0.748,0.758599
1655521,0.87628,0.384099,0.7497,0.769708
