Duration, Accuracy, Sample_Mean_loss, Total_comm_time
50384,0.34498,1.8521,7.04371
97032,0.50574,1.39789,11.5562
143170,0.58522,1.18546,16.2806
188830,0.6398,1.02492,20.7613
235534,0.6814,0.909357,26.2451
281824,0.7117,0.824933,30.6639
328371,0.73296,0.76731,35.6591
374060,0.75122,0.7182,40.4922
420487,0.76518,0.680197,45.6971
466908,0.77998,0.634269,49.8574
512749,0.79184,0.602243,54.1293
556578,0.80196,0.573032,58.3874
601523,0.8126,0.544528,63.3047
646087,0.82372,0.512859,67.4823
689021,0.83054,0.493399,71.8388
