Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
39550,0.31224,1.93228,0.4399,1.72756
77571,0.5286,1.32314,0.5719,1.22631
118240,0.62184,1.07262,0.6343,1.05177
156479,0.67434,0.936051,0.6604,0.970093
197397,0.71084,0.834272,0.6742,0.942936
235147,0.73658,0.76453,0.7032,0.855843
275556,0.7606,0.702403,0.7045,0.854371
313437,0.77374,0.661673,0.7177,0.824704
354040,0.78804,0.619448,0.7134,0.831423
391738,0.80304,0.578878,0.7267,0.79448
432045,0.81654,0.542674,0.7299,0.807074
470055,0.82516,0.517806,0.7272,0.808559
510866,0.83436,0.491807,0.7352,0.794858
548962,0.84578,0.463199,0.7339,0.782211
589298,0.85578,0.43516,0.7214,0.848153
