Duration, Accuracy, Sample_Mean_loss, Total_comm_time
117036,0.30638,1.97016,46.8589
230294,0.47314,1.45802,87.9317
347674,0.60022,1.12794,133.566
460760,0.66716,0.950544,175.108
576977,0.70792,0.836229,220.23
688752,0.73288,0.766695,261.036
803060,0.7624,0.692659,306.461
913149,0.77432,0.655406,348.684
1025748,0.78898,0.608758,394.097
1134353,0.79998,0.578674,434.238
1249225,0.81294,0.539089,479.315
1360960,0.82534,0.505186,520.483
1474172,0.8326,0.483821,565.475
1585885,0.8454,0.448735,606.076
1697826,0.85004,0.434502,649.103
