Duration, Accuracy, Sample_Mean_loss, Total_comm_time
39076,0.34944,1.84299,4.45096
75439,0.51398,1.37482,7.92474
112966,0.5818,1.18844,11.383
147431,0.63324,1.04805,14.8611
180974,0.6757,0.933421,18.831
214555,0.70132,0.861465,22.2833
247663,0.7181,0.815619,25.6478
280764,0.73364,0.765314,29.0574
314522,0.74664,0.732524,33.0556
349042,0.75768,0.693727,36.4886
383176,0.77174,0.657999,39.8802
416386,0.78392,0.624627,43.3503
449950,0.79098,0.601739,47.3226
483369,0.80132,0.575553,50.7199
516320,0.8062,0.560289,54.1018
