Duration, Accuracy, Sample_Mean_loss, Total_comm_time
122100,0.31066,1.96421,49.3859
235846,0.48032,1.43787,89.6454
352644,0.60776,1.1153,132.248
465991,0.66838,0.944728,170.102
582407,0.7068,0.841566,210.877
694348,0.73786,0.757089,249.356
808526,0.75144,0.712562,292.052
918286,0.77736,0.648742,331.484
1030780,0.78894,0.610607,373.747
1140251,0.80212,0.57262,412.138
1254462,0.81472,0.536904,452.446
1366251,0.82428,0.509504,492.425
1479760,0.83046,0.488455,533.311
1591254,0.8439,0.456022,571.533
1701045,0.8466,0.441649,612.179
