Duration, Accuracy, Sample_Mean_loss, Total_comm_time
49451,0.33828,1.87779,5.2347
95417,0.49434,1.41996,9.38625
141948,0.5874,1.17051,13.5029
187834,0.6436,1.0137,17.7688
234781,0.68388,0.90556,22.8089
280686,0.71232,0.824039,26.9892
327425,0.73832,0.75804,31.3184
373103,0.74798,0.723122,35.6006
419523,0.76446,0.681001,40.5525
465579,0.77892,0.636964,44.7771
511439,0.79038,0.607191,48.755
554717,0.8013,0.573695,52.8901
599481,0.81034,0.553692,57.9426
643582,0.81906,0.522841,62.2315
688257,0.82794,0.49694,66.4084
