Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
123103,0.12236,2.28612,0.1309,2.28807
232175,0.15242,2.18499,0.1829,2.14279
353945,0.26742,2.02442,0.3527,1.90881
463964,0.39784,1.77322,0.4413,1.6216
585035,0.49432,1.49758,0.53,1.37345
690048,0.56714,1.27022,0.582,1.20531
800716,0.62682,1.08628,0.6269,1.07031
902914,0.67318,0.942709,0.6663,0.964221
1031274,0.714,0.829619,0.7,0.875131
1149115,0.74848,0.730858,0.7228,0.820888
1258458,0.7761,0.655635,0.7352,0.776431
1362296,0.79834,0.595319,0.7433,0.753502
1474190,0.818,0.545208,0.7502,0.743487
1578733,0.83166,0.504962,0.7543,0.735227
1688194,0.84408,0.469676,0.7522,0.737051
