Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
37481,0.29452,2.01393,0.4383,1.82001
73182,0.51152,1.37867,0.5528,1.25333
111471,0.61214,1.10235,0.6307,1.05714
146787,0.66892,0.951245,0.6614,0.967142
184590,0.7058,0.850427,0.689,0.895162
219946,0.73356,0.777182,0.6995,0.871172
257659,0.75304,0.72048,0.7116,0.839115
292921,0.76998,0.669549,0.722,0.814821
330426,0.78544,0.626495,0.7248,0.806451
365490,0.79938,0.588138,0.7343,0.784706
403117,0.81022,0.556979,0.7356,0.779083
438241,0.82188,0.524789,0.7383,0.771169
476021,0.83346,0.496033,0.7429,0.773301
511125,0.84068,0.471793,0.7409,0.76902
548822,0.8536,0.446581,0.742,0.779386
