Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
33853,0.16018,2.27437,0.2784,2.24092
66031,0.35698,2.04863,0.4163,1.90639
98123,0.45384,1.71974,0.4758,1.58636
129921,0.5183,1.45001,0.5363,1.36333
166489,0.56942,1.25739,0.5815,1.20121
198539,0.60886,1.13076,0.6102,1.10967
230895,0.64018,1.04116,0.6302,1.05023
263180,0.66462,0.969576,0.6526,0.999486
299728,0.68462,0.912512,0.668,0.954728
331736,0.7001,0.866228,0.6793,0.925529
363966,0.71534,0.826136,0.688,0.897273
396259,0.727,0.790796,0.6933,0.87796
432469,0.74124,0.758618,0.7043,0.854656
464585,0.75122,0.729424,0.7068,0.844112
496858,0.76094,0.70377,0.7132,0.829177
