Duration, Accuracy, Sample_Mean_loss, Total_comm_time
73879,0.27402,2.08838,41.5614
146271,0.41022,1.65687,82.0309
218822,0.4953,1.41941,123.672
291278,0.55714,1.2517,164.172
363538,0.60262,1.13514,205.014
435769,0.63444,1.04672,246.292
508154,0.65962,0.975237,287.245
580331,0.67946,0.919453,328.319
654129,0.6951,0.875623,369.48
727136,0.71016,0.832708,409.362
800098,0.72598,0.786955,449.396
873353,0.73478,0.765702,490.138
946354,0.74762,0.733048,529.398
1018657,0.75428,0.705613,568.113
1090963,0.76174,0.683058,607.848
