Duration, Accuracy, Sample_Mean_loss, Total_comm_time
109152,0.32538,1.95144,41.1641
213218,0.43176,1.64231,80.6819
323516,0.47538,1.52289,125.308
431903,0.50836,1.41344,165.599
546216,0.54992,1.29319,210.373
657140,0.58256,1.19082,250.568
774094,0.62048,1.08544,296.679
884843,0.6476,1.00992,337.35
1002097,0.67614,0.92716,382.45
1115117,0.6978,0.871067,423.769
1225143,0.71262,0.825123,466.464
1329005,0.72632,0.786881,505.567
1436601,0.74328,0.745969,547.329
1541048,0.75272,0.717838,588.15
1647760,0.76164,0.688541,630.827
