Duration, Accuracy, Sample_Mean_loss, Total_comm_time
120043,0.29494,1.98897,48.3518
234182,0.47324,1.45605,85.9072
350519,0.6006,1.12396,126.834
463464,0.66916,0.940681,165.274
580228,0.7106,0.833773,207.445
692083,0.738,0.755393,246.074
806264,0.76064,0.69405,288.941
916214,0.77588,0.651479,328.329
1028217,0.78872,0.614388,370.605
1137609,0.7993,0.576727,409.086
1252216,0.81428,0.542784,450.463
1363782,0.8223,0.514857,488.419
1477714,0.83314,0.483186,529.949
1588851,0.84294,0.460986,568.27
1699816,0.85154,0.432148,609.955
