Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
48564,0.18118,2.2742,0.2854,2.26811
93045,0.32706,2.09809,0.3883,1.96463
138443,0.4228,1.78904,0.4581,1.64133
183411,0.50238,1.49574,0.5267,1.39013
234678,0.56048,1.27741,0.5731,1.22334
279381,0.60588,1.13728,0.6149,1.10506
324871,0.64346,1.02697,0.6418,1.0224
369166,0.6732,0.946157,0.6661,0.969855
418686,0.69726,0.878721,0.6815,0.920986
464201,0.7162,0.824147,0.6993,0.881257
510372,0.73254,0.780446,0.7061,0.855223
555170,0.74798,0.740937,0.7136,0.833258
605305,0.76,0.70679,0.7165,0.821445
650773,0.77178,0.67549,0.7278,0.799451
695534,0.78038,0.649177,0.7333,0.790098
