Duration, Accuracy, Sample_Mean_loss, Total_comm_time
117912,0.30468,1.97633,46.3956
231641,0.47366,1.4548,84.4744
348493,0.60098,1.12783,129.518
461401,0.66734,0.947691,169.952
578181,0.70724,0.84225,212.768
689450,0.73696,0.759953,253.363
804355,0.7586,0.699209,298.011
914458,0.77338,0.655527,338.198
1026584,0.7904,0.611208,382.755
1135511,0.79752,0.583706,423.817
1250276,0.81524,0.538124,467.275
1361824,0.82486,0.510966,507.283
1475564,0.83284,0.485925,550.49
1586951,0.84326,0.453936,589.955
1698661,0.84968,0.43573,633.469
