Duration, Accuracy, Sample_Mean_loss, Total_comm_time
97245,0.32558,1.93785,13.4785
196965,0.45552,1.57532,24.5855
288064,0.5089,1.42338,33.2129
375188,0.5384,1.33556,41.9518
471701,0.56532,1.26604,54.0244
569127,0.5957,1.18487,67.0552
664938,0.6114,1.13929,77.4911
756881,0.62728,1.0897,88.8594
849537,0.64932,1.02762,101.116
938569,0.6581,0.999919,110.202
1032524,0.67046,0.958457,119.59
1122173,0.68514,0.919014,128.799
1214436,0.69776,0.881983,141.879
1318367,0.713,0.836004,153.379
1416645,0.71584,0.818302,165.766
