Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
72376,0.2731,2.08805,0.3898,2.093
144563,0.42534,1.61574,0.4808,1.4952
217031,0.51476,1.37341,0.5411,1.29563
289775,0.57356,1.21008,0.5962,1.16609
361768,0.61804,1.08941,0.6134,1.10326
434080,0.64892,1.00505,0.6397,1.02573
507399,0.67612,0.933953,0.6537,0.985859
580044,0.69596,0.876163,0.6709,0.946096
652829,0.7144,0.826852,0.6643,0.963482
725377,0.73048,0.786079,0.6976,0.869576
798296,0.74424,0.746079,0.698,0.865334
871077,0.75862,0.712176,0.7005,0.857996
943873,0.76582,0.684131,0.7116,0.839387
1016756,0.7797,0.651222,0.6981,0.848559
1089218,0.7877,0.626399,0.7102,0.842347
