Duration, Accuracy, Sample_Mean_loss, Total_comm_time
46560,0.34254,1.86285,4.71864
93150,0.49426,1.41882,9.61834
139694,0.57946,1.19551,14.0518
184908,0.63688,1.03533,18.2007
231625,0.6744,0.927777,23.4695
278042,0.71128,0.833122,28.4781
324083,0.73272,0.770346,33.5196
369763,0.74734,0.734193,38.5371
416855,0.76198,0.685655,43.8788
462514,0.77676,0.644706,48.5376
509045,0.79144,0.603053,53.7815
552686,0.80124,0.577847,57.9513
598756,0.81506,0.537893,63.5044
642731,0.82042,0.521744,67.7974
687109,0.83014,0.495001,71.9515
